name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Arnold, Dorian",@cs.unm.edu,M,US,EDU,,,,,,,60
"Aroca, Jordi Arjona",@it.uc3m.es,M,,COM,18,6,6,4,4,170,14
"Arora, Aashray",@cs.stonybrook.edu,M,US,EDU,2,0,0,0,0,0,3
"Arora, Akhil",@xerox.com,M,,COM,8,3,3,2,2,45,14
"Arora, Sudhansku",,M,,,,,,,,,1
"Arora, Vaibhav",@cs.ucsb.edu,M,US,EDU,8,4,4,4,4,66,36
"Arora, Varun",,M,,,108,9,6,8,3,342,31
"Arpaci-Dusseau, Andrea",@cs.wisc.edu,F,US,EDU,192,50,29,90,62,8787,142
"Arpaci-Dusseau, Remzi",@cs.wisc.edu,M,US,EDU,198,49,29,93,63,8999,146
"Arroyo-Paredes, Yulissa",,F,,,,,,,,,1
"Arshad, Sajjad",@ccs.neu.edu,M,US,EDU,14,4,4,2,2,64,14
"Arshad, Sheheryar",,M,US,EDU,,,,,,,1
"Arslan, Engin",@illinois.edu,M,US,EDU,18,6,6,3,3,104,
"Arteaga, Jaime",@udel.edu,M,US,EDU,9,2,2,0,0,13,1
"Arteca, Ellen",@uwaterloo.ca,F,CA,EDU,2,1,1,0,0,2,2
"Arulraj, Joy",@cs.cmu.edu,M,US,EDU,10,8,8,6,6,175,16
"Arulraj, Leo",@cs.wisc.edu,M,US,EDU,4,2,2,2,2,106,5
"Arumaithurai, Mayutan",@cs.uni-goettingen.de,M,DE,EDU,64,11,9,11,8,387,53
"Arumugam, Kamesh",,M,US,EDU,,,,,,,6
"Arun, Venkat",@unh.newhaven.edu,M,US,EDU,8,3,3,1,1,25,6
"Arunkumar, Akhil",@asu.edu,M,US,EDU,8,3,3,1,1,40,18
Arvind,@mit.edu,M,US,EDU,137,34,16,68,26,4154,143
"Asaad, Sameh",,M,US,COM,,,,,,,18
"Asadi, Hossein",@sharif.edu,M,IR,EDU,75,21,17,29,25,1178,
"Asanoviç, Krste",@eecs.berkeley.edu,M,US,EDU,295,49,36,115,83,12391,177
"Asenjo, Rafael",@uma.es,M,ES,EDU,80,10,7,10,3,394,59
"Asgari, Bahar",@gatech.edu,F,US,EDU,5,2,2,1,1,22,6
"Ashraf, Imran",@tudelft.nl,M,NL,EDU,19,4,3,0,0,25,43
"Ashraf, Mohammed",,M,US,EDU,,,,,,,40
"Asipov, Boris",,M,,COM,,,,,,,1
